COVID19 статистике,2020-03-13,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
1,Град Београд,16.0
2,Град Ниш,8.0
3,Кикинда,3.0
4,Панчево,2.0
5,Бачка Топола,1.0
5,Нови Сад ,1.0
5,Крагујевац,1.0
5,Зрењанин,1.0
5,Темерин,1.0
5,Чачак,1.0
11,Бојник,0.0
11,Бољевац,0.0
11,Бор,0.0
11,Босилеград,0.0
11,Брус,0.0
11,Бујановац,0.0
11,Ваљево,0.0
11,Варварин,0.0
11,Велика Плана,0.0
11,Велико Градиште,0.0
11,Владимирци,0.0
11,Владичин Хан,0.0
11,Власотинце,0.0
11,Врање,0.0
11,Врњачка Бања,0.0
11,Гаџин Хан,0.0
11,Голубац,0.0
11,Горњи Милановац,0.0
11,Деспотовац,0.0
11,Димитровград,0.0
11,Дољевац,0.0
11,Жабари,0.0
11,Жагубица,0.0
11,Житорађа,0.0
11,Зајечар,0.0
11,Ивањица,0.0
11,Кладово,0.0
11,Кнић,0.0
11,Књажевац,0.0
11,Косјерић,0.0
11,Коцељева,0.0
11,Краљево,0.0
11,Крупањ,0.0
11,Крушевац,0.0
11,Куршумлија,0.0
11,Кучево,0.0
11,Лајковац,0.0
11,Лебане,0.0
11,Лесковац ,0.0
11,Лозница,0.0
11,Лучани,0.0
11,Љиг,0.0
11,Љубовија,0.0
11,Мајданпек,0.0
11,Мали Зворник,0.0
11,Мало Црниће,0.0
11,Медвеђа,0.0
11,Мерошина,0.0
11,Мионица,0.0
11,Неготин,0.0
11,Нова Варош,0.0
11,Нови Пазар,0.0
11,Осечина,0.0
11,Параћин,0.0
11,Петровац на Млави,0.0
11,Пирот,0.0
11,Пожаревац,0.0
11,Пожега,0.0
11,Прешево,0.0
11,Прибој,0.0
11,Пријепоље,0.0
11,Прокупље,0.0
11,Ражањ,0.0
11,Рача,0.0
11,Рашка,0.0
11,Рековац,0.0
11,Јагодина,0.0
11,Свилајнац,0.0
11,Сврљиг,0.0
11,Сјеница,0.0
11,Смедерево,0.0
11,Смедеревска Паланка,0.0
11,Сокобања,0.0
11,Сурдулица,0.0
11,Ужице,0.0
11,Топола,0.0
11,Трговиште,0.0
11,Трстеник,0.0
11,Тутин,0.0
11,Ћићевац,0.0
11,Ћуприја,0.0
11,Уб,0.0
11,Црна Трава,0.0
11,Чајетина,0.0
11,Шабац,0.0
11,Лапово,0.0
11,Костолац,0.0
11,Врањска Бања,0.0
11,Севојно,0.0
11,Ада,0.0
11,Алибунар,0.0
11,Апатин,0.0
11,Бач,0.0
11,Бачка Паланка,0.0
11,Бачки Петровац,0.0
11,Бела Црква,0.0
11,Беочин,0.0
11,Бечеј,0.0
11,Вршац,0.0
11,Жабаљ,0.0
11,Житиште,0.0
11,Инђија,0.0
11,Ириг,0.0
11,Кањижа,0.0
11,Ковачица,0.0
11,Ковин,0.0
11,Кула,0.0
11,Мали Иђош,0.0
11,Нова Црња,0.0
11,Нови Бечеј,0.0
11,Нови Кнежевац,0.0
11,Опово,0.0
11,Оџаци,0.0
11,Пећинци,0.0
11,Пландиште,0.0
11,Рума,0.0
11,Сента,0.0
11,Сечањ,0.0
11,Сомбор,0.0
11,Србобран,0.0
11,Сремска Митровица,0.0
11,Сремски Карловци,0.0
11,Стара Пазова,0.0
11,Суботица,0.0
11,Тител,0.0
11,Врбас,0.0
11,Чока,0.0
11,Шид,0.0
11,Александровац,0.0
11,Петроварадин,0.0
11,Алексинац,0.0
11,Аранђеловац,0.0
11,Ариље,0.0
11,Бабушница,0.0
11,Бајина Башта,0.0
11,Баточина,0.0
11,Бела Паланка,0.0
11,Блаце,0.0
11,Богатић,0.0
