COVID19 статистике,2020-04-19,
COVID-19 статистике заражени,Заражено укупно,
Ранк,Територија,Вредност
0,Београд,1689
1,Ниш,952
2,Ћуприја,194
3,Ваљево,153
4,Крушевац,153
5,Лесковац,138
6,Параћин,106
7,Алексинац,105
8,Јагодина,86
9,Нови Сад,95
10,Прокупље,85
11,Смедерево,94
12,Бор,82
13,Крагујевац,71
14,Панчево,70
15,Нови Пазар,50
16,Смедеревска Паланка,61
17,Шабац,68
18,Чачак,62
19,Дољевац,62
20,Врање,57
21,Зајечар,33
22,Мерошина,38
23,Блаце,48
24,Власотинце,33
25,Куршумлија,38
26,Вршац,38
27,Суботица,37
28,Пирот,34
29,Краљево,30
30,Пожаревац,33
31,Сурдулица,34
32,Рашка,30
33,Сомбор,21
34,Лозница,19
35,Стара Пазова,24
36,Ужице,25
37,Горњи Милановац,21
38,Кикинда,23
39,Сврљиг,19
40,Сокобања,22
41,Бољевац,20
42,Варварин,22
43,Владичин Хан,16
44,Сремска Митровица,21
45,Аранђеловац,17
46,Житорађа,15
47,Зрењанин,22
48,Књажевац,20
49,Свилајнац,19
50,Уб,20
51,Алибунар,16
52,Лајковац,5
53,Звечан,18
54,Зубин Поток,19
55,Бабушница,8
56,Кладово,18
57,Косовска Митровица,16
58,Мионица,15
59,Александровац,15
60,Деспотовац,11
61,Велика Плана,10
62,Бачка Паланка,14
63,Бачка Топола,13
64,Кула,14
65,Бајина Башта,14
66,Гаџин Хан,14
67,Инђија,12
68,Ковин,9
69,Врњачка Бања,12
70,Ковачица,12
71,Лепосавић,12
72,Ражањ,8
73,Бела Црква,10
74,Рума,8
75,Србобран,11
76,Бела Паланка,9
77,Бојник,8
78,Осечина,8
79,Пријепоље,9
80,Рековац,5
81,Сјеница,8
82,Ариље,8
83,Врбас,8
84,Лебане,8
85,Неготин,7
86,Нова Варош,7
87,Пећинци,8
88,Прибој,7
89,Рача,5
90,Љиг,3
91,Пожега,7
92,Темерин,7
93,Брус,6
94,Ириг,6
95,Крупањ,6
96,Лучани,5
97,Трстеник,6
98,Ћићевац,6
99,Шид,6
100,Бујановац,4
101,Гњилане,5
102,Липљан,5
103,Опово,4
104,Приштина,5
105,Сента,4
106,Топола,4
107,Владимирци,3
108,Жабаљ,2
109,Жабари,4
110,Клина,3
111,Коцељева,4
112,Петровац на Млави,3
113,Пећ,2
114,Пландиште,3
115,Тител,3
116,Баточина,2
117,Бечеј,2
118,Босилеград,2
119,Ивањица,2
120,Косово Поље,2
121,Косовска Каменица,2
122,Лапово,3
123,Мајданпек,3
124,Мали Зворник,3
125,Прешево,3
126,Призрен,2
127,Беочин,2
128,Богатић,0
129,Велико Градиште,2
130,Глоговац,2
131,Голубац,2
132,Димитровград,2
133,Жагубица,2
134,Исток,1
135,Љубовија,2
136,Нови Бечеј,2
137,Оџаци,0
138,Сечањ,2
139,Сремски Карловци,2
140,Трговиште,2
141,Урошевац,2
142,Чајетина,2
143,Штимље,2
144,Ада,1
145,Апатин,1
146,Бач,0
147,Витина,1
148,Ђаковица,1
149,Кучево,1
150,Медвеђа,1
151,Нова Црња,1
152,Обилић,1
153,Црна Трава,1
154,Чока,1
155,Штрпце,1
