COVID19 самоизолације,2020-04-19
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,3500.0
2,Град Ниш,1466.0
3,Лесковац ,1164.0
4,Нови Сад ,790.0
5,Крушевац,737.0
6,Крагујевац,574.0
7,Ваљево,502.0
8,Шабац,438.0
9,Нови Пазар,373.0
10,Ћуприја,340.0
11,Панчево,329.0
12,Бор,295.0
13,Алексинац,290.0
14,Смедерево,270.0
15,Чачак,268.0
16,Суботица,266.0
17,Лозница,265.0
18,Зрењанин,263.0
19,Краљево,257.0
20,Јагодина,246.0
21,Параћин,239.0
22,Врање,235.0
23,Сомбор,232.0
24,Прокупље,215.0
24,Вршац,215.0
26,Рума,203.0
27,Смедеревска Паланка,197.0
28,Ужице,194.0
29,Кладово,189.0
29,Кикинда,189.0
31,Власотинце,185.0
32,Рашка,168.0
33,Кула,158.0
34,Горњи Милановац,154.0
35,Пирот,153.0
36,Блаце,151.0
37,Бачка Паланка,149.0
38,Зајечар,143.0
38,Пријепоље,143.0
40,Варварин,136.0
41,Уб,134.0
42,Дољевац,128.0
43,Пожаревац,126.0
44,Бабушница,122.0
45,Сремска Митровица,119.0
46,Лебане,116.0
47,Аранђеловац,112.0
48,Велика Плана,104.0
49,Сурдулица,100.0
50,Књажевац,99.0
50,Александровац,99.0
52,Куршумлија,97.0
53,Мионица,92.0
54,Стара Пазова,90.0
55,Бајина Башта,82.0
56,Пожега,77.0
57,Врбас,74.0
57,Трстеник,74.0
59,Бујановац,73.0
60,Врњачка Бања,72.0
61,Нови Бечеј,71.0
62,Чајетина,65.0
63,Апатин,62.0
64,Србобран,61.0
64,Ковачица,61.0
66,Сјеница,59.0
66,Бојник,59.0
68,Прибој,58.0
68,Мајданпек,58.0
70,Инђија,55.0
70,Шид,55.0
70,Лајковац,55.0
73,Мерошина,54.0
73,Прешево,54.0
73,Ириг,54.0
76,Жабаљ,52.0
76,Ђаковица,52.0
78,Темерин,48.0
78,Бачка Топола,48.0
80,Нова Варош,46.0
81,Бела Црква,45.0
81,Бољевац,45.0
81,Ћићевац,45.0
84,Топола,44.0
84,Житорађа,44.0
84,Неготин,44.0
84,Свилајнац,44.0
88,Тутин,43.0
89,Сврљиг,42.0
90,Кањижа,40.0
90,Рача,40.0
90,Ковин,40.0
93,Сремски Карловци,38.0
94,Брус,37.0
95,Бечеј,36.0
96,Алибунар,34.0
96,Осечина,34.0
98,Крупањ,33.0
98,Владичин Хан,33.0
100,Сента,32.0
100,Ариље,32.0
100,Сокобања,32.0
103,Оџаци,31.0
103,Мали Зворник,31.0
103,Пећинци,31.0
106,Баточина,30.0
106,Бач,30.0
106,Петровац на Млави,30.0
106,Лучани,30.0
110,Коцељева,29.0
110,Сечањ,29.0
110,Лапово,29.0
113,Тител,28.0
113,Нова Црња,28.0
115,Богатић,27.0
116,Беочин,25.0
116,Бела Паланка,25.0
116,Владимирци,25.0
116,Ивањица,25.0
120,Косовска Митровица,24.0
121,Гаџин Хан,23.0
121,Ражањ,23.0
123,Кнић,21.0
123,Мали Иђош,21.0
125,Житиште,20.0
125,Ада,20.0
125,Љиг,20.0
128,Жагубица,19.0
129,Босилеград,18.0
129,Чока,18.0
129,Бачки Петровац,18.0
132,Димитровград,15.0
133,Косјерић,14.0
134,Нови Кнежевац,13.0
134,Жабари,13.0
136,Велико Градиште,12.0
136,Опово,12.0
136,Гњилане,12.0
136,Звечан,12.0
136,Кучево,12.0
141,Љубовија,11.0
141,Мало Црниће,11.0
141,Медвеђа,11.0
141,Рековац,11.0
145,Зубин Поток,10.0
145,Пландиште,10.0
147,Липљан,6.0
148,Косовска Каменица,5.0
148,Голубац,5.0
148,Лепосавић,5.0
151,Приштина,4.0
152,Штрпце,3.0
152,Трговиште,3.0
152,Пећ,3.0
155,Клина,2.0
155,Исток,2.0
157,Призрен,1.0
157,Црна Трава,1.0
157,Штимље,1.0
157,Урошевац,1.0
157,Косово Поље,1.0
157,Витина,1.0
163,Сува Река,0.0
163,Деспотовац,0.0
163,Вучитрн,0.0
163,Глоговац,0.0
163,Дечани,0.0
163,Качаник,0.0
163,Ново Брдо,0.0
163,Обилић,0.0
163,Ораховац,0.0
163,Подујево,0.0
163,Србица,0.0
163,Гора,0.0
