COVID19 самоизолације,2020-04-27,
COVID-19 статистике изолације,Број самоизолованих,
Ранк,Територија,Вредност
1,Град Београд,1681.0
2,Град Ниш,1140.0
3,Крушевац,395.0
4,Алексинац,308.0
5,Нови Сад ,270.0
6,Лесковац ,234.0
7,Крагујевац,209.0
8,Нови Пазар,192.0
9,Лозница,186.0
10,Ћуприја,183.0
11,Ваљево,173.0
12,Шабац,169.0
12,Панчево,169.0
14,Параћин,159.0
15,Смедерево,158.0
16,Блаце,150.0
17,Прокупље,146.0
18,Смедеревска Паланка,138.0
19,Бор,126.0
20,Суботица,105.0
20,Ужице,105.0
20,Дољевац,105.0
23,Зајечар,101.0
24,Вршац,97.0
25,Велика Плана,93.0
25,Јагодина,93.0
27,Сомбор,81.0
28,Краљево,80.0
28,Власотинце,80.0
30,Зрењанин,78.0
31,Чачак,74.0
32,Пирот,69.0
33,Деспотовац,66.0
33,Кула,66.0
33,Пожаревац,66.0
36,Куршумлија,64.0
37,Бајина Башта,63.0
38,Мерошина,62.0
39,Александровац,57.0
40,Кладово,56.0
40,Врање,56.0
40,Ариље,56.0
43,Рашка,55.0
44,Сурдулица,54.0
45,Сремска Митровица,53.0
46,Кикинда,51.0
46,Житорађа,51.0
48,Рума,48.0
49,Стара Пазова,45.0
50,Пожега,44.0
50,Љиг,44.0
52,Горњи Милановац,43.0
53,Сокобања,42.0
54,Ражањ,41.0
55,Кањижа,40.0
55,Бујановац,40.0
55,Бољевац,40.0
55,Бабушница,40.0
55,Аранђеловац,40.0
60,Варварин,39.0
60,Лајковац,39.0
60,Уб,39.0
60,Бачка Паланка,39.0
64,Владимирци,38.0
64,Сврљиг,38.0
66,Књажевац,37.0
66,Лебане,37.0
66,Врњачка Бања,37.0
69,Алибунар,35.0
70,Нова Варош,34.0
71,Врбас,33.0
72,Прибој,32.0
72,Ковачица,32.0
72,Прешево,32.0
75,Пријепоље,31.0
76,Темерин,30.0
76,Бојник,30.0
76,Владичин Хан,30.0
79,Шид,29.0
80,Жабаљ,28.0
80,Свилајнац,28.0
82,Апатин,27.0
83,Трстеник,26.0
83,Сјеница,26.0
83,Инђија,26.0
83,Мали Зворник,26.0
87,Беочин,25.0
87,Бачка Топола,25.0
87,Србобран,25.0
90,Неготин,24.0
91,Нови Бечеј,22.0
91,Ћићевац,22.0
91,Мајданпек,22.0
94,Тутин,21.0
95,Ковин,19.0
95,Тител,19.0
95,Сента,19.0
95,Бела Црква,19.0
99,Бела Паланка,18.0
100,Бечеј,17.0
100,Ада,17.0
100,Жабари,17.0
103,Мионица,16.0
103,Пећинци,16.0
103,Кнић,16.0
106,Велико Градиште,15.0
106,Гаџин Хан,15.0
106,Петровац на Млави,15.0
109,Топола,14.0
109,Лучани,14.0
109,Брус,14.0
112,Бач,13.0
113,Мали Иђош,12.0
113,Рача,12.0
115,Нови Кнежевац,10.0
115,Богатић,10.0
115,Чајетина,10.0
115,Пландиште,10.0
115,Ириг,10.0
115,Косовска Митровица,10.0
115,Оџаци,10.0
122,Осечина,9.0
122,Бачки Петровац,9.0
122,Опово,9.0
125,Житиште,8.0
125,Рековац,8.0
125,Зубин Поток,8.0
125,Косјерић,8.0
125,Коцељева,8.0
130,Љубовија,7.0
130,Босилеград,7.0
130,Жагубица,7.0
130,Липљан,7.0
130,Звечан,7.0
130,Крупањ,7.0
136,Мало Црниће,6.0
136,Баточина,6.0
136,Сечањ,6.0
136,Лепосавић,6.0
140,Димитровград,5.0
140,Ивањица,5.0
140,Нова Црња,5.0
140,Лапово,5.0
144,Гњилане,4.0
144,Кучево,4.0
144,Приштина,4.0
147,Чока,3.0
147,Сремски Карловци,3.0
147,Пећ,3.0
150,Косово Поље,2.0
150,Урошевац,2.0
150,Голубац,2.0
153,Штимље,1.0
153,Штрпце,1.0
153,Косовска Каменица,1.0
153,Медвеђа,1.0
153,Подујево,1.0
153,Трговиште,1.0
153,Клина,1.0
160,Србица,0.0
160,Сува Река,0.0
160,Гора,0.0
160,Глоговац,0.0
160,Дечани,0.0
160,Вучитрн,0.0
160,Ђаковица,0.0
160,Исток,0.0
160,Качаник,0.0
160,Ново Брдо,0.0
160,Обилић,0.0
160,Ораховац,0.0
160,Црна Трава,0.0
160,Призрен,0.0
160,Витина,0.0
